#	Id	ClassId	NameStringId	LevelDesignGroupId		MissionGroupPresetId	MissionGrooupIndex					MissionLV		UIDisplayType	CanReDoThisMission	RegularMissonPresetId	ChildrenMissionPresetId1	ChildrenMissionPresetId2	ChildrenMissionPresetId3	ChildrenMissionPresetId4	LevelDesignID	MainID	SubID	StartMissionScript 	EndMissionScript	BelongToMissionId	MissionItemIdOnAcceptMission1	MissionItemCountOnAcceptMission1	MissionItemIdOnAcceptMission2	MissionItemCountOnAcceptMission2	MissionItemIdOnAcceptMission3	MissionItemCountOnAcceptMission3	MissionItemIdOnAcceptMission4	MissionItemCountOnAcceptMission4	AcceptMissionNPCID		AcceptMissionLevelDesignId		ReturnMissionNPCID	ReturnMissionPosition		ReturnMissionLevelDesignId		CompleteMissionCausalityStringStartId	CompleteMissionCausalityStringEndId	MissionTargetStringId	MissionTargetLevelDesignId	MissionTargetPosition	MissionDescStringID	AcceptConversationID	UnFinishMissionAcceptID	UnFinishMissionReturnID	ReturnConversationID	RewardExp			RewardGP	RewardPrestige	RewardSkillId	RewardLimit	RewardID1	RewardCount1	RewardRate1	RewardID2	RewardCount2	RewardRate2	RewardID3	RewardCount3	RewardRate3	RewardID4	RewardCount4	RewardRate4	RewardID5	RewardCount5	RewardRate5	Visible	GfxId	AutoShare	bMainMission							
#	Id																																																									30%																						21					20	
#	Id	Class 編號	名稱StringID	關卡群組	任務名稱（10字）	屬於哪一個任務群組	在任務群組的第幾個順位	所在關卡(動物城)	任務類型	人數類型	重接	任務樹承接等級顯示	任務難度等級	UI顯示類別	是否可以重覆解	制式任務追蹤編號	附屬子任務1	附屬子任務2	附屬子任務3	附屬子任務4	開啟LevelDesign	主標記	副標記	開始Script	結束Script 	"所屬任務
(步驟)"	承接任務時獲得的物品編號1	承接任務時獲得的物品數量1	承接任務時獲得的物品編號2	承接任務時獲得的物品數量2	承接任務時獲得的物品編號3	承接任務時獲得的物品數量3	承接任務時獲得的物品編號4	承接任務時獲得的物品數量4	接任務NPC	接任務NPC	接任務地點	接任務地點	還任務NPC	"任務追蹤
還任務NPC座標"	還任務NPC	還任務地點	還任務地點	任務目標String起始編號	任務目標String結尾編號	"任務追蹤
任務對象String"	"任務追蹤
對象所在關卡"	"任務追蹤
對象座標"	任務描述	接任務對話	任務提示(接取NPC)	任務提示(回報NPC)	還任務對話	獎勵Exp	修正以前獎勵Exp	任務種類備註	獎勵 GP	獎勵聲望	獎勵 技能	獎勵物品數量上限	"獎勵1物品
裝備飾品"	獎勵1數量	獎勵1機率	"獎勵2物品
藥水"	獎勵2數量	獎勵2機率	"獎勵3物品
武卷卷軸"	獎勵3數量	獎勵3機率	"獎勵4物品
防卷卷軸"	獎勵4數量	獎勵4機率	"獎勵5物品
傳卷復活"	獎勵5數量	獎勵5機率	顯示	圖檔	自動分享	主線與否	任務所需時間(秒)	目標怪物EXP	怪物擊殺目標隻數	殺夠怪物須過關次數	單級關卡GP參考	獎勵GP計算	原始排序
	501	9300	2000501	1005	魔鬼訓練官	32	2	鷹城野外3	不重複：支線	1	否	50	52	0	0	501						501	0												40142	鸚鵡訓練官	1023	鷹城野外3	40142	1748 -0 1409	鸚鵡訓練官	1023	鷹城野外3	8000501	8000501	3300121	1023	1539 0 597	8010501	8021462	8021463		8021464	171315	590490	打怪	82205	119921		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					700	"7,614"	45				311
	502	9300	2000502	1005	黑暗軍團間諜	32	3	鷹城野外3	不重複：支線	1	否	50	52	0	0	502						502	0												40142	鸚鵡訓練官	1023	鷹城野外3	40142	1748 -0 1409	鸚鵡訓練官	1023	鷹城野外3	8000502	8000502	3300122	1023	690 99 2405	8010502	8021465	8021466		8021467	157240	542320	打怪	70462	110068		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					600	"7,862"	40				312
	503	9300	2000503	1005	鷹城勢力	32	4	鷹城野外3	不重複：支線其他（對話、跑腿）	0	否	51	53	0	0	503						503	0	Mission503Start											40142	鸚鵡訓練官	1023	鷹城野外3	40143	3550 199 2020	風中英雄	1023	鷹城野外3	8000503	8000503	3200140			8010503	8021468	8021469		8021470	31524	41497	對話	3636	22067																						30	0	0				313
	504	9300	2000504	1005	英雄氣魄	32	5	鷹城野外3	不重複：支線	1	否	51	53	0	0	504						504	0												40143	風中英雄	1023	鷹城野外3	40143	3550 199 2020	風中英雄	1023	鷹城野外3	8000504	8000504	3300123	1023	3598 200 1477	8010504	8021471	8021472		8021473	157240	542320	打怪	72713	110068		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					600	"7,862"	40				314
	505	9300	2000505	1005	珍貴的情報	32	6	鷹城野外3	不重複：支線其他（對話、跑腿）	0	否	51	53	0	0	505						505	0	Mission505Start											40143	風中英雄	1023	鷹城野外3	40142	1748 -0 1409	鸚鵡訓練官	1023	鷹城野外3	8000505	8000505	3200139			8010505	8021474	8021475		8021476	31524	41497	對話	3636	22067																						30	0	0				315
	506	9300	2000506	1005	真假鸚鵡	32	7	鷹城野外3	不重複：支線	0	否	52	54	0	0	506						506	0												40142	鸚鵡訓練官	1023	鷹城野外3	40142	1748 -0 1409	鸚鵡訓練官	1023	鷹城野外3	8000506	8000506	3300124	1023	5080 99 1391	8010506	8021477	8021478		8021479	175320	681180	打怪	112526	122724		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					900	"11,688"	30				316
	507	9300	2000507	1005	鸚鵡之王	32	8	鷹城野外3	不重複：支線	1	否	53	55	0	0	507						507	0												40142	鸚鵡訓練官	1023	鷹城野外3	40142	1748 -0 1409	鸚鵡訓練官	1023	鷹城野外3	8000507	8000507	3300125	1023	5861 200 3306	8010507	8021480	8021481		8021482	21740	371079	打王	38689	15218		1	30003	30	10000	30024	1	10000	30025	1	10000	30024	3	10000	30025	3	10000					300	"43,480"	1				317
	511	9300	2000511	1005	被打昏的士兵	33	1	鷹城野外4	不重複：支線其他（對話、跑腿）	0	否	52	54	0	0	511						511	0	Mission511Start											40144	昏倒的士兵	1024	鷹城野外4	40145	2450 -0 614	討逆關勝	1024	鷹城野外4	8000511	8000511	3200142			8010511	8021492	8021493		8021494	32553	42861	對話	3751	22787																						30	0	0				318
	512	9300	2000512	1005	討伐黑暗軍團	33	2	鷹城野外4	不重複：支線	1	否	52	54	0	0	512						512	0												40145	討逆關勝	1024	鷹城野外4	40145	2450 -0 614	討逆關勝	1024	鷹城野外4	8000512	8000512	3300126	1024	716 0 1797	8010512	8021495	8021496		8021497	162400	560080	打怪	75017	113680		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					600	"8,120"	40				319
	513	9300	2000513	1005	失蹤的士兵	33	3	鷹城野外4	不重複：支線其他（對話、跑腿）	0	否	52	54	0	0	513						513	0	Mission513Start											40145	討逆關勝	1024	鷹城野外4	40144	1280 0 134	昏倒的士兵	1024	鷹城野外4	8000513	8000513	3200141			8010513	8021498	8021499		8021500	32553	42861	對話	3751	22787																						30	0	0				320
	514	9300	2000514	1005	昏迷不醒	33	4	鷹城野外4	不重複：支線其他（對話、跑腿）	0	否	52	54	0	0	514						514	0	Mission514Start											40144	昏倒的士兵	1024	鷹城野外4	40145	2450 -0 614	討逆關勝	1024	鷹城野外4	8000514	8000514	3200142			8010514	8021501	8021502		8021503	32553	42861	對話	3751	22787																						30	0	0				321
	515	9300	2000515	1005	求助滬三娘	33	5	鷹城野外4	不重複：支線其他（對話、跑腿）	0	否	52	54	0	0	515						515	0	Mission515Start											40145	討逆關勝	1024	鷹城野外4	40146	4600 0 1062	討逆滬三娘	1024	鷹城野外4	8000515	8000515	3200143			8010515	8021504	8021505		8021506	32553	42861	對話	3751	22787																						30	0	0				322
	516	9300	2000516	1005	黑暗藥劑	33	6	鷹城野外4	不重複：支線	0	否	53	55	0	0	516						516	0		Mission516End										40146	討逆滬三娘	1024	鷹城野外4	40146	4600 0 1062	討逆滬三娘	1024	鷹城野外4	8000516	8000516	8040003	1024	4944 0 1742	8010516	8021507	8021508		8021509	212500	741100	打怪	77378	148750		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					600	"8,500"	50				323
	517	9300	2000517	1005	救醒士兵	33	7	鷹城野外4	不重複：支線其他（對話、跑腿）	0	否	53	55	0	0	517						517	0		Mission517End		20047	1							40146	討逆滬三娘	1024	鷹城野外4	40144	1280 0 134	昏倒的士兵	1024	鷹城野外4	8000517	8000517	3200141			8010517	8021510	8021511	8021731	8021512	34116	44910	對話	3869	23881																						30	0	1				324
	518	9300	2000518	1005	重要情報	33	8	鷹城野外4	不重複：支線其他（對話、跑腿）	0	否	53	55	0	0	518						518	0	Mission518Start											40144	昏倒的士兵	1024	鷹城野外4	40145	2450 -0 614	討逆關勝	1024	鷹城野外4	8000518	8000518	3200142			8010518	8021513	8021514		8021515	34116	44910	對話	3869	23881																						30	0	0				325
	519	9300	2000519	1005	熄滅燈籠	33	9	鷹城野外4	不重複：支線	1	否	54	56	0	0	519						519	0												40145	討逆關勝	1024	鷹城野外4	40145	2450 -0 614	討逆關勝	1024	鷹城野外4	8000519	8000519	3300129	1024	3788 150 2672	8010519	8021516	8021517		8021518	268920	974960	打怪	86057	188244		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					600	"13,446"	40				326
	520	9300	2000520	1005	黑暗王	33	10	鷹城野外4	不重複：支線	1	否	54	56	0	0	520						520	0												40145	討逆關勝	1024	鷹城野外4	40145	2450 -0 614	討逆關勝	1024	鷹城野外4	8000520	8000520	3300130	1024	4952 300 4035	8010520	8021519	8021520		8021521	36808	612190	打王	64542	25766		1	30003	30	10000	30024	1	10000	30025	1	10000	30024	3	10000	30025	3	10000					450	"73,616"	1				327
	521	9300	2000521	1001	對抗黑暗軍團	0	0	鷹城野外4	重複：殺怪數	0	是	53	55	0	1	521						521	0												40145	討逆關勝	1024	鷹城野外4	40145	2450 -0 614	討逆關勝	1024	鷹城野外4	8000521	8000521	8040003	1024	716 0 1797	8010521	8021522	8021523		8021524	127500	185275	重複	45138	38250		1	30103	950	10000																	700	"8,500"	50				328
	523	9300	2000523	1005	幫貓王解圍	27	1	貓城野外3	不重複：支線	1	否	49	49	0	0	523						523	0												40141	貓王	1021	貓城野外3	40141	750 -6 911	貓王	1021	貓城野外3	8000523	8000523	3300111	1021	563 0 743	8010523	8021528	8021529		8021530	102390	353340	打怪	44437	71673		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					450	"6,826"	30				329
	524	9300	2000524	1005	為什麼攻擊狗狗?	27	2	貓城野外3	不重複：支線其他（對話、跑腿）	0	否	49	49	0	0	524						524	0	Mission524Start											40141	貓王	1021	貓城野外3	40141	751 -6 911	貓王	1021	貓城野外3	8000524	8000524	3200135			8010524	8021531			8021533	27097	35645	對話	2962	18968																						30	0	0				330
	525	9300	2000525	1005	去找狗王協助	27	3	貓城野外3	不重複：支線其他（對話、跑腿）	0	否	49	49	0	0	525						525	0	Mission525Start											40141	貓王	1021	貓城野外3	40138	3295 -150 1197	狗王	1021	貓城野外3	8000525	8000525	3200136			8010525	8021534	8021535		8021536	27097	35645	對話	2962	18968																						30	0	0				331
	526	9300	2000526	1005	狗王幫幫忙	27	4	貓城野外3	不重複：支線	1	否	49	49	0	0	526						526	0												40138	狗王	1021	貓城野外3	40138	3295 -150 1197	狗王	1021	貓城野外3	8000526	8000526	3300112	1021	3725 -150 1020	8010526	8021537	8021538		8021539	102390	353340	打怪	59250	71673		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					600	"6,826"	30				332
	527	9300	2000527	1005	貓王的請求	27	5	貓城野外3	不重複：支線其他（對話、跑腿）	0	否	49	49	0	0	527						527	0	Mission527Start											40138	狗王	1021	貓城野外3	40138	3295 -150 1197	狗王	1021	貓城野外3	8000527	8000527	3200136			8010527	8021540			8021542	27097	35645	對話	2962	18968																						30	0	0				333
	528	9300	2000528	1005	北鼻熊的安全	27	6	貓城野外3	不重複：支線其他（對話、跑腿）	0	否	49	49	0	0	528						528	0	Mission528Start											40138	狗王	1021	貓城野外3	40139	2528 -0 2007	北鼻熊	1021	貓城野外3	8000528	8000528	3200137			8010528	8021543	8021544		8021545	27097	35645	對話	2962	18968																						30	0	0				334
	529	9300	2000529	1005	獵人好恐怖	27	7	貓城野外3	不重複：支線	1	否	50	50	0	0	529						529	0												40139	北鼻熊	1021	貓城野外3	40139	2529 -0 2007	北鼻熊	1021	貓城野外3	8000529	8000529	3300113	1021	1481 0 2574	8010529	8021546	8021547		8021548	110490	385020	打怪	51052	77343		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					500	"7,366"	30				335
	530	9300	2000530	1005	射手好恐怖	27	8	貓城野外3	不重複：支線	1	否	51	51	0	0	530						530	0												40139	北鼻熊	1021	貓城野外3	40139	2530 -0 2007	北鼻熊	1021	貓城野外3	8000530	8000530	3300114	1021	4318 0 2088	8010530	8021549	8021550		8021551	108360	398100	打怪	51202	75852		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					450	"7,224"	30				336
	533	9300	2000533	1005	調查落雷極地	29	1	貓城野外3	不重複：支線其他（對話、跑腿）	0	否	50	50	0	0	533						533	0												40147	氣候調查員	1021	貓城野外3	40147	1438 0 680	氣候調查員	1021	貓城野外3	8000533	8000533	8040012			8010533	8021558	8021559		8021560	28554	225403	跑腿	18379	19988		1	30003	1	10000	30009	1	10000	30022	1	10000	30023	1	10000	30029	1	10000					180	0	0				337
	534	9300	2000534	1005	蒐集植物樣本	29	2	貓城野外3	不重複：支線其他（對話、跑腿）	1	否	50	50	0	0	534						534	0		Mission534End										40147	氣候調查員	1021	貓城野外3	40147	1438 0 680	氣候調查員	1021	貓城野外3	8000534	8000534	3100035	1021	2115 -150 496	8010534	8021561	8021562		8021563	28554	375671	跑腿	30631	19988		1	30003	1	1000	30009	1	1000	30022	1	1000	30023	1	1000	30029	1	1000					300	0	10				338
	535	9300	2000535	1005	傳達訊息給專員	29	3	貓城野外3	不重複：支線其他（對話、跑腿）	0	否	50	50	0	0	535						535	0	Mission535Start											40147	氣候調查員	1021	貓城野外3	40148	451 0 922	卡到陰專員	1022	貓城野外4	8000535	8000535	3200145			8010535	8021564	8021565		8021566	28554	37567	對話	3063	19988																						30	0	0				339
	536	9300	2000536	1005	調查孤寂雪原	29	4	貓城野外4	不重複：支線其他（對話、跑腿）	0	否	50	50	0	0	536						536	0												40148	卡到陰專員	1022	貓城野外4	40148	451 0 922	卡到陰專員	1022	貓城野外4	8000536	8000536	8040012			8010536	8021567	8021568		8021569	28554	225403	跑腿	18379	19988		1	1568	1	10000	1569	1	10000	1570	1	10000	1571	1	10000	30029	1	10000					180	0	0				340
	537	9300	2000537	1005	蒐集植物樣本	29	5	貓城野外4	不重複：支線其他（對話、跑腿）	0	否	50	50	0	0	537						537	0		Mission537End										40148	卡到陰專員	1022	貓城野外4	40148	451 0 922	卡到陰專員	1022	貓城野外4	8000537	8000537	3100036	1022	7558 0 1945	8010537	8021570	8021571		8021572	28554	626119	打怪	51052	19988		2	30003	5	5000	30009	5	5000	30022	1	5000	30023	1	5000	30027	1	5000					500	0	100				341
	538	9300	2000538	1005	溫室效應	29	6	貓城野外4	不重複：支線其他（對話、跑腿）	0	否	50	50	0	0	538						538	0	Mission538Start											40148	卡到陰專員	1022	貓城野外4	40148	451 0 922	卡到陰專員	1022	貓城野外4	8000538	8000538	3200145			8010538	8021573			8021575	28554	37567	對話	3063	19988																						30	0	0				342
	541	9300	2000541	1005	燈籠的請求	7	1	兔城野外4	不重複：支線其他（對話、跑腿）	0	否	15	15	0	0	541						541	0	Mission541Start											40076	仲夏夜	1014	螢火平原	40079	9568 0 -629	燈籠	1014	螢火平原	8000541	8000541	3200077			8010541	8021582	8021583		8021584	6392	4167	對話	604	4474																						30	0	0				343
	542	9300	2000542	1005	不懂燈籠說的話	7	2	兔城野外4	不重複：支線其他（對話、跑腿）	0	否	15	15	0	0	542						542	0	Mission542Start											40076	仲夏夜	1014	螢火平原	40088	133 0 411	神秘的男孩	1014	螢火平原	8000542	8000542	3200085			8010542	8021585	8021586		8021587	6392	8334	對話	1207	4474																						60	0	0				344
	543	9300	2000543	1005	翻譯燈籠說的話	7	3	兔城野外4	不重複：支線其他（對話、跑腿）	0	否	15	15	0	0	543						543	0	Mission543Start											40088	神秘的男孩	1014	螢火平原	40076	9508 -0 -642	仲夏夜	1014	螢火平原	8000543	8000543	3200074			8010543	8021588	8021589		8021590	6392	4167	對話	604	4474																						30	0	0				345
	544	9300	2000544	1005	燈籠的能量	7	4	兔城野外4	不重複：支線其他（對話、跑腿）	0	否	15	15	0	0	544						544	0												40076	仲夏夜	1014	螢火平原	40079	9568 0 -629	燈籠	1014	螢火平原	8000544	8000544	8040017			8010544	8021591	8021592	8021592	8021593	6392	20834	跑腿	3018	4474		1	30001	3	1000	30007	3	1000	30022	1	1000	30023	1	1000	30029	1	1000					150	0	0				346
	545	9300	2000545	1001	燈籠的食物	0	0	兔城野外4	重複：殺怪數	1	是	15	16	0	1	545						545	0												40079	燈籠	1014	螢火平原	40079	9568 0 -629	燈籠	1014	螢火平原	8000545	8000545	3300070	1014	9159 0 -1065	8010545	8021594	8021595		8021596	1926	3815	重複	1790	578		1	30101	900	10000																	150	642	10				347
	546	9300	2000546	1001	吵鬧的萬兔水	0	0	兔城野外4	重複：殺怪數	1	是	16	17	0	1	546						546	0												40076	仲夏夜	1014	螢火平原	40076	9508 -0 -642	仲夏夜	1014	螢火平原	8000546	8000546	3300071	1014	7515 0 -860	8010546	8021597	8021598		8021599	3159	3053	重複	2332	948		1	30101	1200	10000																	180	702	15				348
	549	9300	2000549	1005	惡名昭彰的斑馬兄弟	7	5	兔城野外4	不重複：支線其他（對話、跑腿）	0	否	1	16	0	0	549						549	0	Mission549Start											40076	仲夏夜	1014	螢火平原	40076	9508 -0 -642	仲夏夜	1014	螢火平原	8000549	8000549	3200074			8010549	8021606			8021608	7049	1514	對話	239	4934																						10	0	0				349
	550	9300	2000550	1005	斑馬兄弟的惡作劇	7	6	兔城野外4	不重複：支線其他（對話、跑腿）	0	否	1	16	0	0	550						550	0												40076	仲夏夜	1014	螢火平原	40076	9508 -0 -642	仲夏夜	1014	螢火平原	8000550	8000550	8040018			8010550	8021609	8021610		8021611	7049	45413	跑腿	7160	4934		1	30001	3	1000	30007	3	1000	30022	1	1000	30023	1	1000	30029	1	1000					300	0	0				350
	564	9300	2000564	1005	遞送文具	20	5	駱駝野外1	不重複：支線其他（對話、跑腿）	0	否	34	34	0	0	564						564	0	Mission564Start	Mission564End		20018	1	20019	1	20020	1			40057	寫生駱駝	1007	駱駝城野外1	40056	516 0 324	製圖兵	1007	駱駝城野外1	8000564	8000564	3200054			8010564	8021659	8021660		8021661	13645	17891	對話	1331	9552																						30	0	0				351
	565	9300	2000565	1005	修行方法	22	4	駱駝野外2	不重複：支線其他（對話、跑腿）	0	否	38	38	0	0	565						565	0	Mission565Start											40066	行腳和尚	1008	駱駝城野外2	40060	1548 -6 135	倒立村民	1008	駱駝城野外2	8000565	8000565	3200058			8010565	8021662	8021663		8021664	16899	22189	對話	1702	11829																						30	0	0				352
	566	9300	2000566	1005	砲兵已被安全釋放	16	5	彪城野外1	不重複：支線其他（對話、跑腿）	0	否	36	36	0	0	566						566	0	Mission566Start											40052	葫蘆砲車1號	1005	彪城野外1	40049	810 -1 247	梁山砲兵	1005	彪城野外1	8000566	8000566	3200047			8010566	8021665	8021666		8021667	15471	20301	對話	1567	10830																						30	0	0				353
	568	9300	2000568	1008	升級龜砲車第一回	35	1	英雄城1	不重複：支線其他（對話、跑腿）	0	否	20	20	0	0	568						568	0	Mission568Start	Mission568End										40149	龜大郎	3	英雄城1	40149	3658 0 1632	龜大郎	3	英雄城1	8000702	8000702	8040002			8010568	8021671	8021672		8021673	10777	7011	跑腿	0	7544		2	4002	1	10000	30002	1	5000	30023	1	5000	30027	1	5000	30029	1	5000					30	0	0				354
	569	9300	2000569	1008	升級龜砲車第二回	35	2	英雄城2	不重複：支線	1	否	30	30	0	0	569						569	0		Mission569End										40149	龜大郎	3	英雄城1	40149	3658 0 1632	龜大郎	3	英雄城1	8000705	8000705	3300015	1004	2436 99 3355	8010569	8021674	8021675		8021676	9940	87794	打怪	0	6958		2	4003	1	10000	30002	1	5000	30025	1	5000	30027	1	5000	30029	1	5000					180	"1,988"	10				355
	570	9300	2000570	1008	升級龜砲車第三回	35	3	英雄城3	不重複：支線其他（對話、跑腿）	0	否	40	40	0	0	570						570	0		Mission570End		20056	1	20057	1	20058	1	20059	1	40149	龜大郎	2001	英雄城2	40149	3800 0 270	龜大郎	2001	英雄城2	8000708	8000708	8040020			8010570	8021677	8021678		8021679	18896	148852	特殊	0	13227		2	4004	1	10000	30003	1	5000	30022	1	5000	30023	1	5000	30029	1	5000					180	0	0				356
	571	9300	2000571	1008	升級龜砲車最終回	35	4	英雄城4	不重複：支線其他（對話、跑腿）	0	否	50	50	0	0	571						571	0		Mission571End										40149	龜大郎	2002	英雄城3	40149	580 0 130	龜大郎	2002	英雄城3	8000711	8000711	8040038			8010571	8021680	8021681		8021682	28554	37567	跑腿	0	19988		3	4005	1	10000	4006	1	10000	30022	1	5000	30023	1	5000	30029	1	5000					30	0	0				357
#隊伍任務(重複)																																																																																						358
	579	9300	2000578	1001	[隊伍]巴巴的訓練	0	0	象城野外1	重複：殺怪數	1	是	23	30	0	1	579						579	0												40036	小象兵	1003	象城野外1	40036	2903 150 1807	小象兵	1003	象城野外1	8000578	8000578	3300013	1003	4548 0 1901	8010579	8020735	8020736		8020737	35100	41700	隊伍	3068	10530		1	30102	400	10000																	180	"2,340"	50				359
	580	9300	2000579	1001	[隊伍]大象恐懼症	0	0	象城野外1	重複：殺怪數	1	是	22	23	0	1	580						580	0												40038	膽小的士兵	1003	象城野外1	40038	4029 -0 1109	膽小的士兵	1003	象城野外1	8000579	8000579	3300011	1003	3866 0 171	8010580	8020753	8020754		8020755	32970	39025	隊伍	2963	9891		1	30102	300	10000																	180	"2,198"	50				360
	581	9300	2000580	1001	[隊伍]黃金蛋蛋雞	0	0	象城野外1	重複：殺怪數	1	是	20	20	0	1	581						581	0												40039	杜子厄	1003	象城野外1	40039	853 0 658	杜子厄	1003	象城野外1	8000580	8000580	3300010	1003	1316 0 -183	8010581	8020756	8020757		8020758	23700	31475	隊伍	2927	7110		1	30102	300	10000																	180	"1,580"	50				361
	582	9300	2000581	1001	[隊伍]排除萬難	0	0	象城野外2	重複：殺怪數	1	是	25	27	0	1	582						582	0												40044	山總	1004	象城野外2	40044	2684 99 4002	山總	1004	象城野外2	8000581	8000581	3300015	1004	2436 99 3355	8010582	8020720	8020721		8020722	29820	46475	隊伍	3088	8946		1	30102	400	10000																	180	"1,988"	50				362
	583	9300	2000582	1001	[隊伍]好朋友	0	0	象城野外2	重複：殺怪數	1	是	26	25	0	1	583						583	0												40047	三寶	1004	象城野外2	40047	7301 -0 266	三寶	1004	象城野外2	8000582	8000582	3300016	1004	7273 0 664	8010583	8020777	8020778		8020779	43890	53250	隊伍	2896	13167		1	30102	300	10000																	180	"2,926"	50				363
	584	9300	2000583	1001	[隊伍]獲取大象的信賴	0	0	象城野外2	重複：殺怪數	1	是	24	25	0	1	584						584	0												40043	看笛象	1004	象城野外2	40043	10113 -0 694	看笛象	1004	象城野外2	8000583	8000583	3300014	1004	1667 0 367	8010584	8021791	8021792		8021793	32610	42925	隊伍	2896	9783		1	30102	300	10000																	180	"2,174"	50				364
	585	9300	2000584	1001	[隊伍]給大寶的玩具	0	0	象城野外2	重複：殺怪數	1	是	27	28	0	1	585						585	0		Mission585End										40043	看笛象	1004	象城野外2	40043	10113 -0 694	看笛象	1004	象城野外2	8000584	8000584	3300017	1004	5403 100 3360	8010585	8021794	8021795		8021796	46365	56400	隊伍	3074	13910		1	30102	400	10000																	180	"3,091"	50				365
	586	9300	2000585	1001	[隊伍]收集西瓜	0	0	象城野外3	重複：殺怪數	1	是	30	31	0	1	586						586	0		Mission586End										40080	胖胖	1015	署光之城	40080	1300 166 1750	胖胖	1015	署光之城	8000585	8000585	3300078	1015	4652 0 2024	8010586	8021163	8021164		8021165	39840	61300	隊伍	3476	11952		1	30102	400	10000																	180	"2,656"	50				366
	587	9300	2000586	1001	[隊伍]象族體能訓練	0	0	象城野外4	重複：殺怪數	1	是	33	34	0	1	587						587	0												40085	勇士盾象	1016	螢火密林	40085	5850 100 2100	勇士盾象	1016	螢火密林	8000586	8000586	3300082	1016	6500 100 2500	8010587	8021115	8021116		8021117	64800	82900	隊伍	3992	19440		1	30102	400	10000																	180	"4,320"	50				367
	588	9300	2000587	1001	[隊伍]對抗勢力	0	0	象城野外4	重複：殺怪數	1	是	33	34	0	1	588						588	0												40085	勇士盾象	1016	螢火密林	40085	5850 100 2100	勇士盾象	1016	螢火密林	8000587	8000587	3300083	1016	5100 100 3300	8010588	8021118	8021119		8021120	70305	89625	隊伍	3992	21092		1	30102	400	10000																	180	"4,687"	50				368
	589	9300	2000588	1001	[隊伍]維護環境整潔	0	0	彪城野外1	重複：殺怪數	1	是	35	35	0	1	589						589	0												40050	阮小七	1005	彪城野外1	40050	6907 0 358	阮小七	1005	彪城野外1	8000588	8000588	3300020	1005	1015 151 1591	8010589	8020840	8020841		8020842	44370	80775	隊伍	4173	13311		1	30102	500	10000																	180	"2,958"	50				369
	590	9300	2000589	1001	[隊伍]小虎隊徵召新兵	0	0	彪城野外1	重複：殺怪數	1	是	36	36	0	1	590						590	0												40050	阮小七	1005	彪城野外1	40050	6907 0 358	阮小七	1005	彪城野外1	8000589	8000589	3300025	1005	5612 51 696	8010590	8020843	8020844		8020845	59880	82925	隊伍	4702	17964		1	30102	500	10000																	180	"3,992"	50				370
	591	9300	2000590	1001	[隊伍]小虎隊徵召菁英	0	0	彪城野外1	重複：殺怪數	1	是	37	37	0	1	591						591	0												40050	阮小七	1005	彪城野外1	40050	6907 0 358	阮小七	1005	彪城野外1	8000590	8000590	3300022	1005	7984 0 530	8010591	8020846	8020847		8020848	62610	86725	隊伍	4901	18783		1	30102	500	10000																	180	"4,174"	50				371
	592	9300	2000591	1001	[隊伍]心花怒放	0	0	彪城野外2	重複：殺怪數	1	是	37	37	0	1	592						592	0												40054	戀愛的士兵	1006	彪城野外2	40054	422 -1 156	戀愛的士兵	1006	彪城野外2	8000591	8000591	3300024	1006	837 0 -798	8010592	8020702	8020703		8020704	62610	86725	隊伍	4901	18783		1	30102	500	10000																	180	"4,174"	50				372
	593	9300	2000592	1001	[隊伍]打擊惡霸第一回	0	0	彪城野外3	重複：殺怪數	1	是	40	40	0	1	593						593	0												40127	彪城村長	1017	彪城野外3	40127	749 -2 480	彪城村長	1017	彪城野外3	8000592	8000592	3300091	1017	2026 -101 -109	8010593	8021287	8021288		8021289	73140	103775	隊伍	5534	21942		1	30103	150	10000																	180	"4,876"	50				373
	594	9300	2000593	1001	[隊伍]打擊惡霸第二回	0	0	彪城野外3	重複：殺怪數	1	是	41	41	0	1	594						594	0												40127	彪城村長	1017	彪城野外3	40127	749 -2 480	彪城村長	1017	彪城野外3	8000593	8000593	3300092	1017	4392 -3 -1172	8010594	8021290	8021291		8021292	75180	108075	隊伍	6206	22554		1	30103	150	10000																	180	"5,012"	50				374
